t_s,h_m,V_mps,theta_rad,phi_rad,psi_rad,p_radps,q_radps,r_radps,ail_norm,ele_norm,rud_norm,thr_norm
22.616,99.99942779541016,20.000125885009766,-0.014663875102996826,1.1743005678965801e-08,2.891807326932394e-08,2.346987715284854e-09,6.600724009331316e-05,5.616138221142819e-09,0.0,0.07580000162124634,0.0,0.3792000114917755
22.62,99.99942779541016,20.0001220703125,-0.01466361153870821,1.1752068651560421e-08,2.894055484148339e-08,2.3487993772164373e-09,6.58546487102285e-05,5.6204672027604374e-09,0.0,0.07580000162124634,0.0,0.3792000114917755
22.624,99.99942779541016,20.000118255615234,-0.014663348905742168,1.176113695322556e-08,2.8963048848140716e-08,2.3506134816386748e-09,6.569252582266927e-05,5.624795296199636e-09,0.0,0.07580000162124634,0.0,0.3792000114917755
22.628,99.99942779541016,20.00011444091797,-0.014663086272776127,1.1770213248496475e-08,2.8985562394723274e-08,2.3524300285515665e-09,6.553278217324987e-05,5.629122945549625e-09,0.0,0.07580000162124634,0.0,0.3792000114917755
22.632,99.99942779541016,20.000110626220703,-0.01466282457113266,1.1779295761016328e-08,2.9008093704874227e-08,2.3542490179551123e-09,6.536350701935589e-05,5.633449262631984e-09,0.0,0.07580000162124634,0.0,0.3792000114917755
22.636,99.99942779541016,20.000106811523438,-0.014662563800811768,1.178838626714196e-08,2.9030641002236734e-08,2.3560668971356336e-09,6.520614988403395e-05,5.637789790569059e-09,0.0,0.07580000162124634,0.0,0.3792000114917755
22.64,99.99942779541016,20.000102996826172,-0.014662303030490875,1.1797482102338108e-08,2.9053207839524475e-08,2.3578856644945745e-09,6.5048792748712e-05,5.6421356475766515e-09,0.0,0.07580000162124634,0.0,0.3792000114917755
22.644000000000002,99.99942779541016,20.000099182128906,-0.014662043191492558,1.1806586819318454e-08,2.907579066402377e-08,2.3597070963887745e-09,6.48985878797248e-05,5.646479284138195e-09,0.0,0.07580000162124634,0.0,0.3792000114917755
22.648,99.99942779541016,20.00009536743164,-0.014661784283816814,1.1815697753547738e-08,2.909838947573462e-08,2.361529638505999e-09,6.473646499216557e-05,5.650827805681047e-09,0.0,0.07580000162124634,0.0,0.3792000114917755
22.652,99.99942779541016,20.000091552734375,-0.014661525376141071,1.182481490502596e-08,2.9121009603727543e-08,2.363355067203088e-09,6.457910785684362e-05,5.6551736626886395e-09,0.0,0.07580000162124634,0.0,0.3792000114917755
