t_s,h_m,V_mps,theta_rad,phi_rad,psi_rad,p_radps,q_radps,r_radps,ail_norm,ele_norm,rud_norm,thr_norm
3.536,99.95059967041016,19.998693466186523,-0.016244983300566673,1.2547865480883047e-05,0.029128234833478928,8.915546345633629e-07,-1.140438143920619e-05,5.0342464419372845e-06,0.0,0.07580000162124634,0.0,0.3792000114917755
3.54,99.95047760009766,19.998756408691406,-0.016245024278759956,1.2551126019388903e-05,0.02912825532257557,9.076078981706814e-07,-8.82469248608686e-06,4.973815066477982e-06,0.0,0.07580000162124634,0.0,0.3792000114917755
3.544,99.95035552978516,19.998817443847656,-0.016245054081082344,1.2554414752230514e-05,0.02912827581167221,9.016438298203866e-07,-6.249771558941575e-06,4.921009804093046e-06,0.0,0.07580000162124634,0.0,0.3792000114917755
3.548,99.95023345947266,19.998878479003906,-0.016245074570178986,1.255767529073637e-05,0.029128296300768852,8.929207524488447e-07,-3.6700823784485692e-06,4.883068413619185e-06,0.0,0.07580000162124634,0.0,0.3792000114917755
3.552,99.95011138916016,19.998939514160156,-0.016245083883404732,1.2560891264001839e-05,0.029128314927220345,8.606871233496349e-07,-1.0975456916639814e-06,4.862764853896806e-06,0.0,0.07580000162124634,0.0,0.3792000114917755
3.556,99.94998931884766,19.998998641967773,-0.016245083883404732,1.2563962627609726e-05,0.029128333553671837,8.45325018872245e-07,1.4678385014121886e-06,4.849226115766214e-06,0.0,0.07580000162124634,0.0,0.3792000114917755
3.56,99.94986724853516,19.99905776977539,-0.016245072707533836,1.2566974874061998e-05,0.02912835218012333,8.068298029684229e-07,4.035606707475381e-06,4.851876838074531e-06,0.0,0.07580000162124634,0.0,0.3792000114917755
3.564,99.94974517822266,19.999116897583008,-0.016245052218437195,1.256982795894146e-05,0.02912837080657482,7.836569011487882e-07,6.603374913538573e-06,4.871519649896072e-06,0.0,0.07580000162124634,0.0,0.3792000114917755
3.568,99.94962310791016,19.999176025390625,-0.016245020553469658,1.2572534615173936e-05,0.029128391295671463,7.378570785476768e-07,9.175912055070512e-06,4.90342154080281e-06,0.0,0.07580000162124634,0.0,0.3792000114917755
3.572,99.94950103759766,19.999235153198242,-0.016244979575276375,1.2575095752254128e-05,0.029128411784768105,7.097330581018468e-07,1.1743680261133704e-05,4.944960892316885e-06,0.0,0.07580000162124634,0.0,0.3792000114917755
3.576,99.94937896728516,19.99929428100586,-0.016244927421212196,1.2577468623931054e-05,0.029128432273864746,6.402434564733994e-07,1.4306679986475501e-05,4.9954874157265294e-06,0.0,0.07580000162124634,0.0,0.3792000114917755
3.58,99.94925689697266,19.999353408813477,-0.01624486595392227,1.2579593203554396e-05,0.029128452762961388,5.887758902645146e-07,1.686014365986921e-05,5.050349045632174e-06,0.0,0.07580000162124634,0.0,0.3792000114917755
3.584,99.94913482666016,19.999412536621094,-0.01624479331076145,1.2581557712110225e-05,0.02912847325205803,5.553357027565653e-07,1.9411221728660166e-05,5.10952531840303e-06,0.0,0.07580000162124634,0.0,0.3792000114917755
3.588,99.94901275634766,19.999473571777344,-0.016244711354374886,1.258340671483893e-05,0.02912849374115467,5.399268729888718e-07,2.194799526478164e-05,5.171015800442547e-06,0.0,0.07580000162124634,0.0,0.3792000114917755
3.592,99.94889068603516,19.99953269958496,-0.016244618222117424,1.2585196600412019e-05,0.029128514230251312,5.215504756961309e-07,2.4491921067237854e-05,5.246492037258577e-06,0.0,0.07580000162124634,0.0,0.3792000114917755
3.596,99.94876861572266,19.999591827392578,-0.016244515776634216,1.2586884622578509e-05,0.029128534719347954,4.83246708427032e-07,2.7021542337024584e-05,5.327533472154755e-06,0.0,0.07580000162124634,0.0,0.3792000114917755
3.6,99.94864654541016,19.999650955200195,-0.016244402155280113,1.2588412573677488e-05,0.029128557071089745,4.633088224181847e-07,2.9553548301919363e-05,5.4076181186246686e-06,0.0,0.07580000162124634,0.0,0.3792000114917755
