t_s,h_m,V_mps,theta_rad,phi_rad,psi_rad,p_radps,q_radps,r_radps,ail_norm,ele_norm,rud_norm,thr_norm
4.448,95.8660325348774,21.464874453898684,-0.21238865483550182,0.9199323740005846,0.6768049598736333,0.31411636320114045,0.2125724051282374,0.33994580587411605,0.03,0.0758,0.0,0.3792
4.452,95.84844605098708,21.469885444365808,-0.2129559624718258,0.9208649219096176,0.6783395836061137,0.31419288870242756,0.21304178224249865,0.34007026893767467,0.03,0.0758,0.0,0.3792
4.456,95.83080664518342,21.474906804516813,-0.2135239291331446,0.9217966103036266,0.6798756919530257,0.3142695499281821,0.21351130554338657,0.34019375295603793,0.03,0.0758,0.0,0.3792
4.46,95.81311423684811,21.47993852842443,-0.21409255290756263,0.9227274372553728,0.6814132846259754,0.314346346780816,0.21398097278437908,0.3403162582181454,0.03,0.0758,0.0,0.3792
4.464,95.79536874649841,21.484980610064397,-0.21466183187876922,0.9236574008376374,0.6829523613414187,0.31442327916148843,0.2144507817174857,0.34043778502272576,0.03,0.0758,0.0,0.3792
4.468,95.77757009351603,21.490033043315577,-0.21523176412605688,0.9245864991232253,0.6844929218206603,0.31450034697011264,0.21492073009325255,0.34055833367827926,0.03,0.0758,0.0,0.3792
4.472,95.75971819955366,21.49509582196018,-0.21580234772434606,0.9255147301849738,0.6860349657898582,0.31457755010535726,0.21539081566079774,0.3406779045030734,0.03,0.0758,0.0,0.3792
4.476,95.74181298967036,21.50016893968356,-0.2163735807442052,0.9264420920957562,0.6875784929800213,0.3146548884646426,0.21586103616787247,0.3407964978251517,0.03,0.0758,0.0,0.3792
4.48,95.72385437984151,21.50525239007441,-0.21694546125187303,0.9273685829284898,0.6891235031270119,0.31473236194414633,0.21633138936087595,0.3409141139823191,0.03,0.0758,0.0,0.3792
4.484,95.70584229512615,21.51034616662466,-0.21751798730928146,0.9282942007561411,0.6906699959715463,0.3148099704388006,0.21680187298490497,0.3410307533221469,0.03,0.0758,0.0,0.3792
4.488,95.68777665377057,21.515450262729487,-0.21809115697407497,0.9292189436517302,0.692217971259195,0.3148877138422969,0.2172724847837796,0.34114641620196035,0.03,0.0758,0.0,0.3792
4.492,95.66965737856292,21.520564671687666,-0.21866496829963517,0.93014280968834,0.6937674287403836,0.3149655920470877,0.21774322250006592,0.34126110298883156,0.03,0.0758,0.0,0.3792
4.496,95.65148439229132,21.525689386701117,-0.21923941933510005,0.9310657969391195,0.6953183681703926,0.315043604944382,0.21821408387515437,0.3413748140595896,0.03,0.0758,0.0,0.3792
4.5,95.63325761320208,21.530824400875378,-0.21981450812538786,0.9319879034772902,0.696870789309358,0.31512175242415347,0.21868506664924695,0.34148754980079743,0.03,0.0758,0.0,0.3792
4.5040000000000004,95.61497696748972,21.535969707219376,-0.22039023271121716,0.9329091273761525,0.6984246919222714,0.31520003437513705,0.21915616856142606,0.3415993106087586,0.03,0.0758,0.0,0.3792
4.508,95.59664237226507,21.54112529864566,-0.22096659112912945,0.9338294667090917,0.6999800757789808,0.3152784506848316,0.21962738734967893,0.3417100968895071,0.03,0.0758,0.0,0.3792
