t_s,h_m,V_mps,theta_rad,phi_rad,psi_rad,p_radps,q_radps,r_radps,ail_norm,ele_norm,rud_norm,thr_norm
15.72,188.3336876359684,19.89960712240852,0.3178099525881506,-0.0007728871401663713,6.2808985332812135,-4.668681221095257e-06,0.009369189078494291,-0.0003969292394921143,0.0,0.0758,0.0,0.5791999999999999
15.724,188.35968344005138,19.89955381357112,0.31784743998017795,-0.0007734376764121279,6.280896831344484,-4.671326406352816e-06,0.009371448745322034,-0.00039718037827498194,0.0,0.0758,0.0,0.5791999999999999
15.728,188.38568199083252,19.899499292633053,0.3178849364090159,-0.0007739886300257344,6.280895128300138,-4.6739739761353805e-06,0.009373659876815725,-0.00039743172226589484,0.0,0.0758,0.0,0.5791999999999999
15.732000000000001,188.41168329739557,19.89944356197619,0.31792244168051986,-0.0007745400013492725,6.280893424147407,-4.676623935929582e-06,0.009375822544638744,-0.0003976832716036689,0.0,0.0758,0.0,0.5791999999999999
15.736,188.4376873506568,19.899386623984302,0.3179599556008324,-0.0007750917907247774,6.280891718885523,-4.679276283062848e-06,0.009377936820558642,-0.0003979350264479971,0.0,0.0758,0.0,0.5791999999999999
15.74,188.46369415515807,19.89932848104293,0.3179974779763825,-0.0007756439984942314,6.2808900125137175,-4.681931021809836e-06,0.009380002776432866,-0.00039818698694121693,0.0,0.0758,0.0,0.5791999999999999
15.744,188.48970370862847,19.899269135539495,0.31803500861388667,-0.0007761966249995709,6.2808883050312225,-4.684588153714694e-06,0.00938202048421997,-0.00039843915323250356,0.0,0.0758,0.0,0.5791999999999999
15.748000000000001,188.51571600539063,19.899208589863207,0.3180725473203494,-0.0007767496705826838,6.280886596437267,-4.687247682178076e-06,0.009383990015971264,-0.00039869152546630454,0.0,0.0758,0.0,0.5791999999999999
15.752,188.54173105112187,19.89914684640507,0.3181100939030639,-0.0007773031355854114,6.280884886731083,-4.689909609935532e-06,0.009385911443833253,-0.00039894410378863516,0.0,0.0758,0.0,0.5791999999999999
15.756,188.56774884128038,19.899083907557877,0.31814764816961116,-0.0007778570203495449,6.280883175911899,-4.692573940104171e-06,0.009387784840050362,-0.00039919688834444644,0.0,0.0758,0.0,0.5791999999999999
15.76,188.59376937473064,19.89901977571616,0.3181852099278615,-0.0007784113252168286,6.280881463978943,-4.695240677113203e-06,0.00938961027695688,-0.0003994498792751148,0.0,0.0758,0.0,0.5791999999999999
15.764000000000001,188.61979264806627,19.898954453276204,0.31822277898597395,-0.0007789660505289573,6.280879750931446,-4.697909820943708e-06,0.009391387826982794,-0.0003997030767333356,0.0,0.0758,0.0,0.5791999999999999
15.768,188.64581866582913,19.89888794263604,0.3182603551523987,-0.0007795211966275769,6.280878036768634,-4.7005813784825525e-06,0.009393117562651801,-0.0003999564808540919,0.0,0.0758,0.0,0.5791999999999999
15.772,188.67184742120642,19.898820246195395,0.31829793823587466,-0.0007800767638542857,6.280876321489736,-4.703255350530148e-06,0.009394799556581335,-0.00040021009178755576,0.0,0.0758,0.0,0.5791999999999999
15.776,188.69787891874,19.898751366355725,0.3183355280454318,-0.0007806327525506302,6.280874605093979,-4.70593173677186e-06,0.009396433881477746,-0.0004004639096871018,0.0,0.0758,0.0,0.5791999999999999
15.780000000000001,188.72391315275254,19.89868130552015,0.3183731243903908,-0.0007811891630581066,6.28087288758059,-4.7086105369050185e-06,0.009398020610142608,-0.00040071793470654294,0.0,0.0758,0.0,0.5791999999999999
15.784,188.74995012437952,19.898610066093447,0.3184107270803637,-0.0007817459957181595,6.280871168948795,-4.711291754932987e-06,0.009399559815464472,-0.00040097216698885626,0.0,0.0758,0.0,0.5791999999999999
15.788,188.77598982907904,19.898537650482098,0.3184483359252534,-0.0007823032508721848,6.2808694491978185,-4.7139753930642035e-06,0.0094010515704242,-0.00040122660668144745,0.0,0.0758,0.0,0.5791999999999999
15.792,188.8020322702575,19.89846406109417,0.31848595073525604,-0.0007828609288615311,6.280867728326888,-4.716661459452045e-06,0.009402495948092796,-0.00040148125391614335,0.0,0.0758,0.0,0.5791999999999999
15.796000000000001,188.82807744337308,19.89838930033937,0.31852357132085896,-0.0007834190300274973,6.280866006335227,-4.71934995201117e-06,0.009403893021632172,-0.00040173610885063996,0.0,0.0758,0.0,0.5791999999999999
15.8,188.85412534956117,19.898313370629054,0.3185611974928425,-0.0007839775547113311,6.280864283222061,-4.722040877012536e-06,0.009405242864290222,-0.0004019911716214741,0.0,0.0758,0.0,0.5791999999999999
