t_s,h_m,V_mps,theta_rad,phi_rad,psi_rad,p_radps,q_radps,r_radps,ail_norm,ele_norm,rud_norm,thr_norm
21.644000000000002,98.80199432373047,19.996095657348633,-0.012965901754796505,5.972484728999916e-09,1.2702425777888493e-08,1.7767288751358024e-09,0.08675126731395721,4.793880292730535e-10,0.0,0.031578488647937775,0.0,0.3792000114917755
21.648,98.8016586303711,19.996068954467773,-0.012620843015611172,5.979480466322684e-09,1.2706653507166266e-08,1.7479286906763036e-09,0.08577839285135269,6.032391253185665e-10,0.0,0.03250647336244583,0.0,0.3792000114917755
21.652,98.80133819580078,19.99602699279785,-0.012279931455850601,5.986354967291163e-09,1.2711362629147516e-08,1.7183127143383103e-09,0.08467698842287064,7.305199778429028e-10,0.0,0.033498410135507584,0.0,0.3792000114917755
21.656,98.80103302001953,19.995973587036133,-0.011943681165575981,5.993104679191674e-09,1.27165602492596e-08,1.687926687310437e-09,0.08344850689172745,8.610434032441106e-10,0.0,0.034552864730358124,0.0,0.3792000114917755
21.66,98.80075073242188,19.995906829833984,-0.01161259412765503,5.999726937488958e-09,1.2722256137465138e-08,1.656814130335249e-09,0.08209463208913803,9.946310441932837e-10,0.0,0.03566831350326538,0.0,0.3792000114917755
21.664,98.80048370361328,19.995824813842773,-0.011287171393632889,6.006219965826176e-09,1.2728461840083583e-08,1.6250187861999166e-09,0.08061724156141281,1.1311032110938868e-09,0.0,0.03684314712882042,0.0,0.3792000114917755
21.668,98.80023956298828,19.9957332611084,-0.010967900045216084,6.012579767400439e-09,1.2735183574363873e-08,1.5925906149405478e-09,0.07901841402053833,1.2702557894428423e-09,0.0,0.038075659424066544,0.0,0.3792000114917755
21.672,98.80001068115234,19.995630264282227,-0.01065526157617569,6.018805009944117e-09,1.2742427557554947e-08,1.5595779112587138e-09,0.07730039954185486,1.4118914926086745e-09,0.0,0.039364054799079895,0.0,0.3792000114917755
21.676000000000002,98.7998046875,19.995513916015625,-0.010349730029702187,6.024895249368001e-09,1.2750204447797842e-08,1.526030191101313e-09,0.07546566426753998,1.5558075938670868e-09,0.0,0.04070647060871124,0.0,0.3792000114917755
21.68,98.79962158203125,19.995386123657227,-0.010051765479147434,6.030846044779992e-09,1.2758515133270976e-08,1.4919971924598485e-09,0.0735168606042862,1.7018005893376653e-09,0.0,0.042100939899683,0.0,0.3792000114917755
21.684,98.79945373535156,19.99524688720703,-0.009761817753314972,6.0366573961800896e-09,1.2767367607580127e-08,1.4575310958164778e-09,0.07145681232213974,1.849657538244287e-09,0.0,0.0435454323887825,0.0,0.3792000114917755
21.688,98.79930877685547,19.99509620666504,-0.009480326436460018,6.042327083122245e-09,1.2776765423438974e-08,1.4226858580101975e-09,0.06928852200508118,1.9991579502942614e-09,0.0,0.04503784328699112,0.0,0.3792000114917755
21.692,98.79918670654297,19.994935989379883,-0.009207719936966896,6.047855549695669e-09,1.2786713909918035e-08,1.3875142146346775e-09,0.0670151636004448,2.1500865532431135e-09,0.0,0.04657598212361336,0.0,0.3792000114917755
21.696,98.79907989501953,19.994766235351562,-0.008944408036768436,6.053239687275891e-09,1.279721217883889e-08,1.3520706776404268e-09,0.064640112221241,2.3022208583967085e-09,0.0,0.04815760254859924,0.0,0.3792000114917755
21.7,98.79899597167969,19.994583129882812,-0.008690793998539448,6.058479051773702e-09,1.28082628947368e-08,1.3164103140894667e-09,0.06216689199209213,2.4553361566148624e-09,0.0,0.049780383706092834,0.0,0.3792000114917755
21.704,98.79893493652344,19.99439239501953,-0.008447262458503246,6.063573643189102e-09,1.281986961032544e-08,1.280587524910004e-09,0.059599194675683975,2.60921084738186e-09,0.0,0.051441945135593414,0.0,0.3792000114917755
21.708000000000002,98.79888916015625,19.99419403076172,-0.00821418222039938,6.068522129254461e-09,1.2832027884712716e-08,1.2446598196547143e-09,0.056940849870443344,2.7636097854610853e-09,0.0,0.05313984677195549,0.0,0.3792000114917755
