t_s,h_m,V_mps,theta_rad,phi_rad,psi_rad,p_radps,q_radps,r_radps,ail_norm,ele_norm,rud_norm,thr_norm
17.596,100.44302180043537,20.09780314650225,-0.01235144956122786,-1.8550942201433444e-08,6.283182165792701,-5.15054660781087e-09,4.231554829365422e-05,-3.331944939059772e-07,0.0,0.0758,0.0,0.3792
17.6,100.44320969321205,20.097798976931546,-0.012351267610142031,-1.8555082034221997e-08,6.283182164459793,-5.151263049243417e-09,4.213292948402989e-05,-3.3322065325219654e-07,0.0,0.0758,0.0,0.3792
17.604,100.44339759961436,20.097794810104237,-0.01235108638953403,-1.8559223683033845e-08,6.2831821631267815,-5.151980588796582e-09,4.195041799260664e-05,-3.3324670286024745e-07,0.0,0.0758,0.0,0.3792
17.608,100.44358551850681,20.097790646042682,-0.012350905898974774,-1.856336715566827e-08,6.283182161793666,-5.152694510339993e-09,4.17680147757718e-05,-3.3327265465997224e-07,0.0,0.0758,0.0,0.3792
17.612000000000002,100.44377345670222,20.097786484769177,-0.012350726138031065,-1.8567512442612144e-08,6.283182160460446,-5.1534070164710195e-09,4.158572078890123e-05,-3.332985032577689e-07,0.0,0.0758,0.0,0.3792
17.616,100.44396140511685,20.09778232630597,-0.012350547106265939,-1.857165954186836e-08,6.283182159127123,-5.1541197121070335e-09,4.140353698542606e-05,-3.3332424443695657e-07,0.0,0.0758,0.0,0.3792
17.62,100.44414936942803,20.09777817067521,-0.012350368803238539,-1.8575808458703432e-08,6.283182157793696,-5.1548303067218675e-09,4.122146431045077e-05,-3.33349883922002e-07,0.0,0.0758,0.0,0.3792
17.624,100.44433734622937,20.09777401789899,-0.01235019122850435,-1.8579959188926108e-08,6.283182156460168,-5.155536427566172e-09,4.103950371159049e-05,-3.3337542806201337e-07,0.0,0.0758,0.0,0.3792
17.628,100.44452533665634,20.097769867999332,-0.012350014381615353,-1.8584111717788943e-08,6.283182155126538,-5.156242343130348e-09,4.085765613031316e-05,-3.3340086619359396e-07,0.0,0.0758,0.0,0.3792
17.632,100.44471334297985,20.0977657209982,-0.012349838262119148,-1.8588266049567762e-08,6.283182153792806,-5.156944765286704e-09,4.0675922508345625e-05,-3.334262067329857e-07,0.0,0.0758,0.0,0.3792
17.636,100.44490136179353,20.09776157691749,-0.012349662869560168,-1.8592422173703542e-08,6.283182152458973,-5.157643787927148e-09,4.049430378311594e-05,-3.3345144980379014e-07,0.0,0.0758,0.0,0.3792
17.64,100.44508939309736,20.097757435779034,-0.012349488203478575,-1.8596580080615235e-08,6.283182151125039,-5.1583458333368014e-09,4.031280088821693e-05,-3.3347657889868874e-07,0.0,0.0758,0.0,0.3792
17.644000000000002,100.44527744256868,20.097753297604577,-0.01234931426341142,-1.86007397873746e-08,6.283182149791004,-5.1590461196148775e-09,4.013141475556164e-05,-3.335016057813414e-07,0.0,0.0758,0.0,0.3792
17.648,100.44546550225921,20.097749162415816,-0.01234914104889125,-1.8604901290709372e-08,6.283182148456869,-5.159740038197412e-09,3.995014631620218e-05,-3.33526542612624e-07,0.0,0.0758,0.0,0.3792
17.652,100.4456535744399,20.097745030234364,-0.012348968559447518,-1.8609064568951735e-08,6.283182147122635,-5.160433218804185e-09,3.97689964922137e-05,-3.335513754961219e-07,0.0,0.0758,0.0,0.3792
17.656,100.44584166138168,20.09774090108178,-0.012348796794605668,-1.8613229622791142e-08,6.2831821457883015,-5.161126896991992e-09,3.958796620879615e-05,-3.335761010696661e-07,0.0,0.0758,0.0,0.3792
17.66,100.44602976194909,20.097736774979552,-0.012348625753887704,-1.8617396459402772e-08,6.283182144453869,-5.161821743800664e-09,3.940705638748283e-05,-3.3360071723219484e-07,0.0,0.0758,0.0,0.3792
17.664,100.44621787727758,20.097732651949098,-0.012348455436811534,-1.8621565086779227e-08,6.2831821431193395,-5.162514574426976e-09,3.922626794599593e-05,-3.336252318860045e-07,0.0,0.0758,0.0,0.3792
17.668,100.44640600396075,20.097728532011775,-0.012348285842891655,-1.8625735502316626e-08,6.28318214178471,-5.1632088549297475e-09,3.904560179886064e-05,-3.3364963603926054e-07,0.0,0.0758,0.0,0.3792
17.672,100.44659414540502,20.097724415188853,-0.01234811697163898,-1.862990771524212e-08,6.283182140449985,-5.1639038568470925e-09,3.88650588563274e-05,-3.336739310942688e-07,0.0,0.0758,0.0,0.3792
17.676000000000002,100.44678229820397,20.097720301501564,-0.012347948822560744,-1.863408173323632e-08,6.283182139115161,-5.16459514324425e-09,3.868464002883934e-05,-3.3369812831913117e-07,0.0,0.0758,0.0,0.3792
17.68,100.44697046462854,20.097716190971056,-0.0123477813951603,-1.863825754549196e-08,6.2831821377802415,-5.165285078251162e-09,3.850434622174002e-05,-3.337222219173311e-07,0.0,0.0758,0.0,0.3792
17.684,100.44715864808514,20.097712083618404,-0.012347614688937726,-1.864243515035303e-08,6.283182136445226,-5.165971978278038e-09,3.8324178339554185e-05,-3.33746216298845e-07,0.0,0.0758,0.0,0.3792
17.688,100.44734683949001,20.09770797946463,-0.012347448703389267,-1.8646614540531515e-08,6.283182135110114,-5.166653940522959e-09,3.814413728320617e-05,-3.3377011675015313e-07,0.0,0.0758,0.0,0.3792
17.692,100.44753504679144,20.09770387853068,-0.012347283438007787,-1.8650795699290906e-08,6.283182133774907,-5.167335574525673e-09,3.796422394731059e-05,-3.337939118003978e-07,0.0,0.0758,0.0,0.3792
17.696,100.44772326544756,20.09769978083743,-0.012347118892282146,-1.8654978629699986e-08,6.283182132439604,-5.168013813742307e-09,3.778443923039554e-05,-3.338176093109998e-07,0.0,0.0758,0.0,0.3792
17.7,100.44791149886478,20.097695686405697,-0.01234695506569794,-1.865916332184791e-08,6.2831821311042075,-5.1686855265226485e-09,3.760478402248782e-05,-3.338412178618722e-07,0.0,0.0758,0.0,0.3792
17.704,100.44809974363667,20.09769159525623,-0.012346791957737191,-1.8663349753691483e-08,6.283182129768716,-5.169357584431647e-09,3.7425259213933374e-05,-3.338647203299003e-07,0.0,0.0758,0.0,0.3792
17.708000000000002,100.44828800203419,20.097687507409695,-0.012346629567878277,-1.866753793072189e-08,6.283182128433131,-5.1700255634094415e-09,3.72458656897979e-05,-3.338881280241733e-07,0.0,0.0758,0.0,0.3792
17.712,100.44847627405733,20.09768342288671,-0.01234646789559596,-1.8671727840269405e-08,6.283182127097452,-5.170695151885361e-09,3.70666043347558e-05,-3.3391142649283833e-07,0.0,0.0758,0.0,0.3792
17.716,100.44866455629968,20.09767934170784,-0.012346306940361672,-1.8675919493118834e-08,6.283182125761679,-5.171360852642684e-09,3.688747602867693e-05,-3.339346296378456e-07,0.0,0.0758,0.0,0.3792
17.72,100.44885285216765,20.09767526389352,-0.012346146701643178,-1.8680112877604228e-08,6.2831821244258155,-5.172020709685822e-09,3.670848164883015e-05,-3.339577430441833e-07,0.0,0.0758,0.0,0.3792
17.724,100.44904116279672,20.097671189464183,-0.012345987178904862,-1.868430797368722e-08,6.283182123089858,-5.172679262759007e-09,3.6529622071785944e-05,-3.339807555930072e-07,0.0,0.0758,0.0,0.3792
17.728,100.44922948137406,20.097667118440167,-0.012345828371607435,-1.8688504780474657e-08,6.283182121753809,-5.173340051240231e-09,3.6350898169918345e-05,-3.3400365798359555e-07,0.0,0.0758,0.0,0.3792
17.732,100.44941781698343,20.097663050841746,-0.01234567027920824,-1.869270331151292e-08,6.283182120417669,-5.173998993880809e-09,3.617231081109788e-05,-3.340264602912658e-07,0.0,0.0758,0.0,0.3792
17.736,100.44960616281202,20.097658986689122,-0.01234551290116088,-1.8696903563084353e-08,6.283182119081437,-5.174655340236655e-09,3.5993860865224056e-05,-3.3404916457385184e-07,0.0,0.0758,0.0,0.3792
17.740000000000002,100.44979451999528,20.09765492600245,-0.012345356236915853,-1.870110552893426e-08,6.283182117745115,-5.175307953291398e-09,3.581554919288231e-05,-3.3407177403861645e-07,0.0,0.0758,0.0,0.3792
17.744,100.44998289080418,20.097650868801786,-0.012345200285920172,-1.8705309197639932e-08,6.283182116408703,-5.1759587033751e-09,3.563737665611508e-05,-3.3409428420088204e-07,0.0,0.0758,0.0,0.3792
17.748,100.45017127637416,20.097646815107137,-0.012345045047617282,-1.870951456624407e-08,6.283182115072201,-5.1766087519799966e-09,3.545934411452042e-05,-3.3411669210454737e-07,0.0,0.0758,0.0,0.3792
