t_s,h_m,V_mps,theta_rad,phi_rad,psi_rad,p_radps,q_radps,r_radps,ail_norm,ele_norm,rud_norm,thr_norm
10.508000000000001,97.34733581542969,19.762964248657227,-0.020078977569937706,-0.03736938536167145,0.13689205050468445,-0.00034382514422759414,-0.009783622808754444,-0.01822337880730629,0.0,0.07580000162124634,0.0,0.3792000114917755
10.512,97.34689331054688,19.76359748840332,-0.020120752975344658,-0.03736932948231697,0.13682064414024353,-0.0003437693230807781,-0.009756614454090595,-0.01822279579937458,0.0,0.07580000162124634,0.0,0.3792000114917755
10.516,97.34645080566406,19.764232635498047,-0.020162422209978104,-0.0373692661523819,0.1367492526769638,-0.000343755295034498,-0.009729577228426933,-0.01822219230234623,0.0,0.07580000162124634,0.0,0.3792000114917755
10.52,97.34600067138672,19.76486587524414,-0.020203979685902596,-0.03736919164657593,0.1366778314113617,-0.0003437346895225346,-0.009702526032924652,-0.018221616744995117,0.0,0.07580000162124634,0.0,0.3792000114917755
10.524000000000001,97.34555053710938,19.7655029296875,-0.02024543285369873,-0.037369124591350555,0.13660642504692078,-0.0003437168779782951,-0.009675460867583752,-0.018220948055386543,0.0,0.07580000162124634,0.0,0.3792000114917755
10.528,97.3450927734375,19.766138076782227,-0.02028677612543106,-0.03736905753612518,0.13653503358364105,-0.00034366766340099275,-0.009648364037275314,-0.01822032779455185,0.0,0.07580000162124634,0.0,0.3792000114917755
10.532,97.34463500976562,19.766775131225586,-0.020328013226389885,-0.037368983030319214,0.13646362721920013,-0.000343676918419078,-0.009621248580515385,-0.01821970008313656,0.0,0.07580000162124634,0.0,0.3792000114917755
10.536,97.34417724609375,19.767410278320312,-0.020369138568639755,-0.037368908524513245,0.1363922357559204,-0.00034365803003311157,-0.009594108909368515,-0.018219107761979103,0.0,0.07580000162124634,0.0,0.3792000114917755
10.540000000000001,97.34371185302734,19.768047332763672,-0.02041015774011612,-0.03736882656812668,0.1363208293914795,-0.0003436625993344933,-0.009566938504576683,-0.018218498677015305,0.0,0.07580000162124634,0.0,0.3792000114917755
10.544,97.34324645996094,19.768686294555664,-0.02045106329023838,-0.037368737161159515,0.1362493932247162,-0.0003436993283685297,-0.009539765305817127,-0.01821790263056755,0.0,0.07580000162124634,0.0,0.3792000114917755
10.548,97.3427734375,19.769323348999023,-0.020491870120167732,-0.037368666380643845,0.13617803156375885,-0.00034368198248557746,-0.009512570686638355,-0.018217220902442932,0.0,0.07580000162124634,0.0,0.3792000114917755
10.552,97.34230041503906,19.769962310791016,-0.020532557740807533,-0.037368565797805786,0.13610658049583435,-0.0003435614344198257,-0.009485337883234024,-0.018216652795672417,0.0,0.07580000162124634,0.0,0.3792000114917755
10.556000000000001,97.3418197631836,19.770601272583008,-0.020573141053318977,-0.037368468940258026,0.13603517413139343,-0.0003435163525864482,-0.00945809856057167,-0.018216008320450783,0.0,0.07580000162124634,0.0,0.3792000114917755
10.56,97.34133911132812,19.771240234375,-0.020613614469766617,-0.037368372082710266,0.13596373796463013,-0.000343463005265221,-0.009430835023522377,-0.018215399235486984,0.0,0.07580000162124634,0.0,0.3792000114917755
10.564,97.34085845947266,19.771879196166992,-0.020653976127505302,-0.03736826404929161,0.13589230179786682,-0.0003434719401411712,-0.009403540752828121,-0.018214760348200798,0.0,0.07580000162124634,0.0,0.3792000114917755
10.568,97.34037017822266,19.772520065307617,-0.020694231614470482,-0.037368159741163254,0.1358208954334259,-0.0003434790705796331,-0.009376234374940395,-0.01821405254304409,0.0,0.07580000162124634,0.0,0.3792000114917755
10.572000000000001,97.33988189697266,19.773160934448242,-0.020734377205371857,-0.037368059158325195,0.1357494592666626,-0.0003434774116612971,-0.009348906576633453,-0.01821337826550007,0.0,0.07580000162124634,0.0,0.3792000114917755
10.576,97.33938598632812,19.773801803588867,-0.020774416625499725,-0.03736795485019684,0.13567805290222168,-0.0003434419631958008,-0.009321569465100765,-0.018212690949440002,0.0,0.07580000162124634,0.0,0.3792000114917755
10.58,97.3388900756836,19.774442672729492,-0.02081434428691864,-0.037367843091487885,0.13560664653778076,-0.0003434046229813248,-0.009294194169342518,-0.018212078139185905,0.0,0.07580000162124634,0.0,0.3792000114917755
10.584,97.33839416503906,19.775083541870117,-0.02085416205227375,-0.03736773133277893,0.13553522527217865,-0.0003433489182498306,-0.009266797453165054,-0.01821146160364151,0.0,0.07580000162124634,0.0,0.3792000114917755
10.588000000000001,97.337890625,19.775726318359375,-0.020893868058919907,-0.03736760839819908,0.13546378910541534,-0.0003433638485148549,-0.009239381179213524,-0.01821078546345234,0.0,0.07580000162124634,0.0,0.3792000114917755
10.592,97.33738708496094,19.7763671875,-0.020933469757437706,-0.03736749663949013,0.13539238274097443,-0.0003433696983847767,-0.009211958386003971,-0.018210072070360184,0.0,0.07580000162124634,0.0,0.3792000114917755
10.596,97.33687591552734,19.77701187133789,-0.020972957834601402,-0.037367381155490875,0.13532094657421112,-0.000343363790307194,-0.009184502065181732,-0.01820947602391243,0.0,0.07580000162124634,0.0,0.3792000114917755
10.6,97.33636474609375,19.77765655517578,-0.021012336015701294,-0.03736725077033043,0.13524949550628662,-0.0003433833480812609,-0.0091570308431983,-0.018208852037787437,0.0,0.07580000162124634,0.0,0.3792000114917755
10.604000000000001,97.33585357666016,19.77829933166504,-0.02105160430073738,-0.03736712411046028,0.13517804443836212,-0.0003434140526223928,-0.009129543788731098,-0.018208181485533714,0.0,0.07580000162124634,0.0,0.3792000114917755
10.608,97.33533477783203,19.77894401550293,-0.021090762689709663,-0.03736698627471924,0.13510659337043762,-0.00034334242809563875,-0.00910202506929636,-0.018207546323537827,0.0,0.07580000162124634,0.0,0.3792000114917755
10.612,97.3348159790039,19.779586791992188,-0.02112981118261814,-0.03736685588955879,0.1350351870059967,-0.0003433154779486358,-0.0090744998306036,-0.0182068832218647,0.0,0.07580000162124634,0.0,0.3792000114917755
10.616,97.33428955078125,19.780231475830078,-0.02116875723004341,-0.03736672177910805,0.1349637359380722,-0.00034331882488913834,-0.009046962484717369,-0.018206171691417694,0.0,0.07580000162124634,0.0,0.3792000114917755
10.620000000000001,97.3337631225586,19.7808780670166,-0.02120758406817913,-0.037366583943367004,0.1348922997713089,-0.00034326931927353144,-0.009019405581057072,-0.018205519765615463,0.0,0.07580000162124634,0.0,0.3792000114917755
10.624,97.33323669433594,19.781524658203125,-0.021246302872896194,-0.03736644238233566,0.1348208636045456,-0.0003432647790759802,-0.008991825394332409,-0.018204836174845695,0.0,0.07580000162124634,0.0,0.3792000114917755
